id,scientific.name,family,taxon.rank,taxon.status,threat.status,life.form,habitat,vegetation.type,domain,original.search,notes,search.str,accepted.name,obs
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa aurivillus sordescens,not found,NA,Mimosa aurivillus var. sordescens,
18768,Mimosa aurivillus var. sordescens Benth.,Fabaceae,variety,accepted,NA,Arbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa aurivillus var. sordescens,,Mimosa aurivillus var. sordescens,Mimosa aurivillus var. sordescens,
18768,Mimosa aurivillus var. sordescens Benth.,Fabaceae,variety,accepted,NA,Arbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa mogolensis,replaced synonym,Mimosa aurivillus var. sordescens,Mimosa aurivillus var. sordescens,
18768,Mimosa aurivillus var. sordescens Benth.,Fabaceae,variety,accepted,NA,Arbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa sordida,replaced synonym,Mimosa aurivillus var. sordescens,Mimosa aurivillus var. sordescens,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa aurivillus calothamnos,not found,NA,Mimosa aurivillus var. calothamnos,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa aurivillus calothamnus,not found,NA,Mimosa aurivillus var. calothamnos,
31069,Mimosa aurivillus var. calothamnos (Benth.) Barneby,Fabaceae,variety,accepted,NA,Arbusto,Terr�cola,Campo de Altitude|Campo rupestre|Floresta Ombr�fila (= Floresta Pluvial),Cerrado|Mata Atl�ntica,Mimosa aurivillus var. calothamnos,,Mimosa aurivillus var. calothamnos,Mimosa aurivillus var. calothamnos,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa calothamnos calothamnoides,not found,NA,Mimosa aurivillus var. calothamnos,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa calothamnos calothamnos,not found,NA,Mimosa aurivillus var. calothamnos,
31069,Mimosa aurivillus var. calothamnos (Benth.) Barneby,Fabaceae,variety,accepted,NA,Arbusto,Terr�cola,Campo de Altitude|Campo rupestre|Floresta Ombr�fila (= Floresta Pluvial),Cerrado|Mata Atl�ntica,Mimosa calothamnos,replaced synonym,Mimosa aurivillus var. calothamnos,Mimosa aurivillus var. calothamnos,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa calothamnos var.calothamnos,not found,NA,Mimosa aurivillus var. calothamnos,
31069,Mimosa aurivillus var. calothamnos (Benth.) Barneby,Fabaceae,variety,accepted,NA,Arbusto,Terr�cola,Campo de Altitude|Campo rupestre|Floresta Ombr�fila (= Floresta Pluvial),Cerrado|Mata Atl�ntica,Mimosa calothamnus,was misspelled|replaced synonym,Mimosa aurivillus var. calothamnos,Mimosa aurivillus var. calothamnos,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa aurivillus calothamnoides,not found,NA,Mimosa aurivillus var. calothamnoides,
31068,Mimosa aurivillus var. calothamnoides Barneby,Fabaceae,variety,accepted,NA,Arbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa aurivillus var. calothamnoides,,Mimosa aurivillus var. calothamnoides,Mimosa aurivillus var. calothamnoides,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa aurivillus aurivillus,not found,NA,Mimosa aurivillus var. aurivillus,
18767,Mimosa aurivillus Mart. var. aurivillus,Fabaceae,variety,accepted,NA,Arbusto,Terr�cola,Campo de Altitude|Campo rupestre,Cerrado|Mata Atl�ntica,Mimosa aurivillus var. aurivillus,,Mimosa aurivillus var. aurivillus,Mimosa aurivillus var. aurivillus,
18766,Mimosa aurivillus Mart.,Fabaceae,species,accepted,NA,NA,NA,NA,NA,Mimosa aurivillus,,Mimosa aurivillus,Mimosa aurivillus,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa aureliana,not found,NA,Mimosa aureliana,
78897,Mimosa atlantica Barneby,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Campo de Altitude|Floresta Ombr�fila (= Floresta Pluvial),Mata Atl�ntica,Mimosa atlantica,,Mimosa atlantica,Mimosa atlantica,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa asperoides,not found,NA,Mimosa asperoides,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa arenosa lysalgica,not found,NA,Mimosa arenosa var. lysalgica,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa leiocarpa,not found,NA,Mimosa arenosa var. leiocarpa,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa arenosa arenosa,not found,NA,Mimosa arenosa var. arenosa,
18764,Mimosa arenosa (Willd.) Poir. var. arenosa,Fabaceae,variety,accepted,NA,Arbusto|�rvore,Terr�cola,Caatinga (stricto sensu)|Floresta Estacional Semidecidual,Caatinga,Mimosa arenosa var. arenosa,,Mimosa arenosa var. arenosa,Mimosa arenosa var. arenosa,
18764,Mimosa arenosa (Willd.) Poir. var. arenosa,Fabaceae,variety,accepted,NA,Arbusto|�rvore,Terr�cola,Caatinga (stricto sensu)|Floresta Estacional Semidecidual,Caatinga,Mimosa malacocentra,replaced synonym,Mimosa arenosa var. arenosa,Mimosa arenosa var. arenosa,
18763,Mimosa arenosa (Willd.) Poir.,Fabaceae,species,accepted,NA,Arbusto|�rvore,Terr�cola,�rea Antr�pica|Caatinga (stricto sensu)|Floresta Estacional Semidecidual,NA,Mimosa arenosa,,Mimosa arenosa,Mimosa arenosa,
31063,Mimosa apodocarpa Benth.,Fabaceae,species,accepted,NA,�rvore,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa apodocarpa,,Mimosa apodocarpa,Mimosa apodocarpa,
25670,Mimosa antrorsa Benth.,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa antrorsa,,Mimosa antrorsa,Mimosa antrorsa,
25670,Mimosa antrorsa Benth.,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa artrorsa,was misspelled,Mimosa antrorsa,Mimosa antrorsa,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa annularis xinguensis,not found,NA,Mimosa annularis var. xinguensis,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa annularis odora,not found,NA,Mimosa annularis var. odora,
