id,scientific.name,family,taxon.rank,taxon.status,threat.status,life.form,habitat,vegetation.type,domain,original.search,notes,search.str,accepted.name,obs
31328,Mimosa sensibilis Griseb.,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Cerrado (lato sensu)|Floresta Estacional Decidual|Floresta Estacional Semidecidual,Cerrado|Mata Atl�ntica,Mimosa sensibilis,,Mimosa sensibilis,Mimosa sensibilis,
100980,Mimosa selloi Benth.,Fabaceae,species,accepted,NA,Erva|Subarbusto,Terr�cola,�rea Antr�pica|Cerrado (lato sensu)|Floresta Estacional Semidecidual|Floresta Ombr�fila (= Floresta Pluvial),Mata Atl�ntica,Mimosa selloi,,Mimosa selloi,Mimosa selloi,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa schrankioides schrankioides,not found,NA,Mimosa schrankioides var. schrankioides,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa sagotiana sagotiana,not found,NA,Mimosa schrankioides var. sagotiana,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa schrankioides sagotiana,not found,NA,Mimosa schrankioides var. sagotiana,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa schrankioides benth.,not found,NA,Mimosa schrankioides,
83460,Mimosa schrankioides Benth.,Fabaceae,species,accepted,NA,Arbusto,NA,�rea Antr�pica|Floresta de V�rzea|Savana Amaz�nica,NA,Mimosa schrankioides,,Mimosa schrankioides,Mimosa schrankioides,
83459,Mimosa schomburgkii Benth.,Fabaceae,species,accepted,NA,�rvore,Terr�cola,�rea Antr�pica|Floresta Ciliar ou Galeria,Amaz�nia,Mimosa artemisiana,replaced synonym,Mimosa schomburgkii,Mimosa schomburgkii,
83459,Mimosa schomburgkii Benth.,Fabaceae,species,accepted,NA,�rvore,Terr�cola,�rea Antr�pica|Floresta Ciliar ou Galeria,Amaz�nia,Mimosa schomburgkii,,Mimosa schomburgkii,Mimosa schomburgkii,
100979,Mimosa schleidenii Herter,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,NA,Mata Atl�ntica|Pampa,Mimosa schleidenii,,Mimosa schleidenii,Mimosa schleidenii,
135821,Mimosa sceptrum Barneby,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Cerrado (lato sensu),Pantanal,Mimosa sceptrum,,Mimosa sceptrum,Mimosa sceptrum,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa bracaatinga aspericarpa,not found,NA,Mimosa scabrella,
100978,Mimosa scabrella Benth.,Fabaceae,species,accepted,NA,�rvore,Terr�cola,�rea Antr�pica|Floresta Ombr�fila (= Floresta Pluvial)|Floresta Ombr�fila Mista,Mata Atl�ntica,Mimosa bracaatinga,replaced synonym,Mimosa scabrella,Mimosa scabrella,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa bracaatinga paucijuga,not found,NA,Mimosa scabrella,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa scabrella aspericarpa,not found,NA,Mimosa scabrella,
100978,Mimosa scabrella Benth.,Fabaceae,species,accepted,NA,�rvore,Terr�cola,�rea Antr�pica|Floresta Ombr�fila (= Floresta Pluvial)|Floresta Ombr�fila Mista,Mata Atl�ntica,Mimosa scabrella,,Mimosa scabrella,Mimosa scabrella,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa scabrella scabrella,not found,NA,Mimosa scabrella,
100977,Mimosa sanguinolenta Barneby,Fabaceae,species,accepted,LC,Arbusto|Subarbusto,Terr�cola,Campo de Altitude,Mata Atl�ntica,Mimosa sanguinolenta,,Mimosa sanguinolenta,Mimosa sanguinolenta,
604070,Mimosa rupigena (Barneby) L.M. Borges,Fabaceae,species,accepted,NA,Arbusto,NA,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa rupigena,,Mimosa rupigena,Mimosa rupigena,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa setosa rupigena,not found,NA,Mimosa rupigena,
100976,Mimosa rupestris Benth.,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Campo de Altitude,Mata Atl�ntica|Pampa,Mimosa rupestris,,Mimosa rupestris,Mimosa rupestris,
31326,Mimosa rufipila Benth.,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa rufipila,,Mimosa rufipila,Mimosa rufipila,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa rufescens rufescens,not found,NA,Mimosa rufescens var. rufescens,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa rufescens amnis-nigri,not found,NA,Mimosa rufescens var. amnis-nigri,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa rufescens annis-atri,not found,NA,Mimosa rufescens var. amnis-nigri,
23090,Mimosa rufescens Benth.,Fabaceae,species,accepted,NA,NA,NA,NA,NA,Mimosa rufescens,,Mimosa rufescens,Mimosa rufescens,
129248,Mimosa rubra V.F. Dutra & F.C.P. Garcia,Fabaceae,species,accepted,NA,Erva,Terr�cola,Campo rupestre,Cerrado,Mimosa rubra,,Mimosa rubra,Mimosa rubra,
128123,Mimosa roseoalba Sav.-Cout. & G. P. Lewis,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,NA,Pantanal,Mimosa roseoalba,,Mimosa roseoalba,Mimosa roseoalba,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa rojasii,not found,NA,Mimosa rojasii,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa rocae,not found,NA,Mimosa rocae,
31324,Mimosa riedelii Benth.,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa riedelii,,Mimosa riedelii,Mimosa riedelii,
31323,Mimosa rhodostegia Barneby,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa rhodostegia,,Mimosa rhodostegia,Mimosa rhodostegia,
31322,Mimosa rheiptera Barneby,Fabaceae,species,accepted,NA,�rvore,Terr�cola,Campo Limpo|Cerrado (lato sensu),Cerrado,Mimosa rheiptera,,Mimosa rheiptera,Mimosa rheiptera,
127865,Mimosa reptans Benth.,Fabaceae,species,accepted,NA,Erva|Subarbusto,Terr�cola,Campo Limpo,Pampa,Mimosa reptans,,Mimosa reptans,Mimosa reptans,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa regnelli supersetosa,not found,NA,Mimosa regnellii var. supersetosa,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa regnellii supersetosa,not found,NA,Mimosa regnellii var. supersetosa,
31321,Mimosa regnellii var. supersetosa (Burkart) Barneby,Fabaceae,variety,accepted,NA,Arbusto,Terr�cola,Campo Limpo,Cerrado,Mimosa supersetosa,replaced synonym,Mimosa regnellii var. supersetosa,Mimosa regnellii var. supersetosa,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa supersetosa rufohispidula,not found,NA,Mimosa regnellii var. supersetosa,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa regnellii grossiseta,not found,NA,Mimosa regnellii var. grossiseta,
31320,Mimosa regnellii var. grossiseta Barneby,Fabaceae,variety,accepted,NA,Arbusto,Terr�cola,Campo Limpo,Cerrado,Mimosa regnellii var. grossiseta,,Mimosa regnellii var. grossiseta,Mimosa regnellii var. grossiseta,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa regnellii enxuta,not found,NA,Mimosa regnellii var. exuta,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa regnellii exsuta,not found,NA,Mimosa regnellii var. exuta,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa regnellii exuta,not found,NA,Mimosa regnellii var. exuta,
31318,Mimosa regnellii Benth.,Fabaceae,species,accepted,NA,Arbusto|�rvore,Terr�cola,Campo de Altitude|Campo Limpo|Campo rupestre,Mata Atl�ntica,Mimosa regnellii,,Mimosa regnellii,Mimosa regnellii,
31317,Mimosa regina Barneby,Fabaceae,species,accepted,EN,�rvore,Terr�cola,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa regina,,Mimosa regina,Mimosa regina,
78931,Mimosa reduviosa Barneby,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Campo de Altitude|Cerrado (lato sensu),Cerrado,Mimosa reduviosa,,Mimosa reduviosa,Mimosa reduviosa,
31315,Mimosa rava Barneby,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa rava,,Mimosa rava,Mimosa rava,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa rastrera,not found,NA,Mimosa rastrera,
100975,Mimosa ramulosa Benth.,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Campo de Altitude,Mata Atl�ntica|Pampa,Mimosa ramulosa,,Mimosa ramulosa,Mimosa ramulosa,
100974,Mimosa ramosissima Benth.,Fabaceae,species,accepted,NA,Arbusto|Subarbusto,Terr�cola,�rea Antr�pica|Campo de Altitude|Floresta Ombr�fila (= Floresta Pluvial)|Floresta Ombr�fila Mista,Mata Atl�ntica,Mimosa ramosissima,,Mimosa ramosissima,Mimosa ramosissima,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa ramosissima ramosissima,not found,NA,Mimosa ramosissima,
100973,Mimosa ramentacea Burkart,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Campo de Altitude,Mata Atl�ntica,Mimosa ramentacea,,Mimosa ramentacea,Mimosa ramentacea,
117112,Mimosa ramboi Burkart,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Campo Limpo|Vegeta��o Sobre Afloramentos Rochosos,Pampa,Mimosa ramboi,,Mimosa ramboi,Mimosa ramboi,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa radula semitonsa,not found,NA,Mimosa radula var. semitonsa,
31314,Mimosa radula var. semitonsa Barneby,Fabaceae,variety,accepted,NA,Subarbusto,Terr�cola,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa radula var. semitonsa,,Mimosa radula var. semitonsa,Mimosa radula var. semitonsa,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa radula radulina,not found,NA,Mimosa radula var. radulina,
31313,Mimosa radula var. radulina Barneby,Fabaceae,variety,accepted,NA,Subarbusto,Terr�cola,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa radula var. radulina,,Mimosa radula var. radulina,Mimosa radula var. radulina,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa radula radula,not found,NA,Mimosa radula var. radula,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa imbricata multijuga,not found,NA,Mimosa radula var. imbricata ,
31311,Mimosa radula var. imbricata (Benth.) Barneby,Fabaceae,variety,accepted,NA,Subarbusto,Terr�cola,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa imbricata,replaced synonym,Mimosa radula var. imbricata,Mimosa radula var. imbricata ,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa radula imbricata,not found,NA,Mimosa radula var. imbricata,
31310,Mimosa radula var. calycina (Benth.) Barneby,Fabaceae,variety,accepted,NA,Subarbusto,Terr�cola,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa calycina,replaced synonym,Mimosa radula var. calycina,Mimosa radula var. calycina,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa radula calycina,not found,NA,Mimosa radula var. calycina,
31309,Mimosa radula Benth.,Fabaceae,species,accepted,NA,NA,NA,NA,NA,Mimosa radula,,Mimosa radula,Mimosa radula,
31308,Mimosa pyrenea Taub.,Fabaceae,species,accepted,NT,Subarbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa pyrenea,,Mimosa pyrenea,Mimosa pyrenea,
31307,Mimosa pycnocoma Benth.,Fabaceae,species,accepted,DD,Arbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa pycnocoma,,Mimosa pycnocoma,Mimosa pycnocoma,
83454,Mimosa pusilliceps Barneby,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Savana Amaz�nica,Amaz�nia|Cerrado,Mimosa pusilliceps,,Mimosa pusilliceps,Mimosa pusilliceps,
31305,Mimosa pumilio Barneby,Fabaceae,species,accepted,NA,Erva,Terr�cola,Campo rupestre,Cerrado,Mimosa pumilio,,Mimosa pumilio,Mimosa pumilio,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa pudica unijuga,not found,NA,Mimosa pudica var. unijuga,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa pudica tetrandra,not found,NA,Mimosa pudica var. tetrandra,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa pudica hispida,not found,NA,Mimosa pudica var. hispida,
18853,Mimosa pudica var. hispida Brenan,Fabaceae,variety,accepted,NA,Erva|Subarbusto,Terr�cola,�rea Antr�pica|Cerrado (lato sensu)|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombr�fila (= Floresta Pluvial),Amaz�nia|Cerrado|Mata Atl�ntica,Mimosa pudica var. hispida,,Mimosa pudica var. hispida,Mimosa pudica var. hispida,
83449,Mimosa pudica L.,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,�rea Antr�pica|Floresta Ciliar ou Galeria|Floresta Ombr�fila (= Floresta Pluvial)|Floresta Ombr�fila Mista|Restinga|Savana Amaz�nica,NA,Mimosa pudica,,Mimosa pudica,Mimosa pudica,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa adenophylla armandiana,not found,NA,Mimosa pteridifolia,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa adenophylla mitis,not found,NA,Mimosa pteridifolia,
78926,Mimosa pteridifolia Benth.,Fabaceae,species,accepted,LC,�rvore|Subarbusto,Terr�cola,Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Estacional Semidecidual,Caatinga|Cerrado,Mimosa adenophylla,replaced synonym,Mimosa pteridifolia,Mimosa pteridifolia,
78926,Mimosa pteridifolia Benth.,Fabaceae,species,accepted,LC,�rvore|Subarbusto,Terr�cola,Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Estacional Semidecidual,Caatinga|Cerrado,Mimosa adenphylla,was misspelled|replaced synonym,Mimosa pteridifolia,Mimosa pteridifolia,
78926,Mimosa pteridifolia Benth.,Fabaceae,species,accepted,LC,�rvore|Subarbusto,Terr�cola,Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Estacional Semidecidual,Caatinga|Cerrado,Mimosa pteridifolia,,Mimosa pteridifolia,Mimosa pteridifolia,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa pteridifolia paucipinnata,not found,NA,Mimosa pteridifolia,
100972,Mimosa psittacina Barneby,Fabaceae,species,accepted,EN,Arbusto,Terr�cola,Floresta Ombr�fila (= Floresta Pluvial),Mata Atl�ntica,Mimosa psittacina,,Mimosa psittacina,Mimosa psittacina,
31303,Mimosa pseudotrachycarpa Barneby,Fabaceae,species,accepted,LC,Arbusto,Terr�cola,Cerrado (lato sensu)|Floresta Ciliar ou Galeria,Cerrado|Mata Atl�ntica,Mimosa pseudotrachycarpa,,Mimosa pseudotrachycarpa,Mimosa pseudotrachycarpa,
18850,Mimosa pseudosepiaria Harms,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Caatinga (stricto sensu),Caatinga,Mimosa pseudosepiaria,,Mimosa pseudosepiaria,Mimosa pseudosepiaria,
31300,Mimosa pseudoradula var. crystallites Barneby,Fabaceae,variety,accepted,NA,Subarbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa pseudoradula var. crystallites,,Mimosa pseudoradula var. crystallites,Mimosa pseudoradula var. crystallites,
78924,Mimosa pseudoradula Glaz. ex Barneby,Fabaceae,species,accepted,NA,NA,NA,NA,NA,Mimosa pseudo-radula,was misspelled,Mimosa pseudoradula,Mimosa pseudoradula,
78924,Mimosa pseudoradula Glaz. ex Barneby,Fabaceae,species,accepted,NA,NA,NA,NA,NA,Mimosa pseudoradula,,Mimosa pseudoradula,Mimosa pseudoradula,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa pseudoradula pseudoradula,not found,NA,Mimosa pseudoradula,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa pseudopetiolaris,not found,NA,Mimosa pseudopetiolaris,
31297,Mimosa pseudofoliolosa Barneby,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa pseudofoliolosa,,Mimosa pseudofoliolosa,Mimosa pseudofoliolosa,
31297,Mimosa pseudofoliolosa Barneby,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa pseudofoliosa,was misspelled,Mimosa pseudofoliolosa,Mimosa pseudofoliolosa,
100969,Mimosa pseudocallosa Burkart,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Campo de Altitude,Mata Atl�ntica,Mimosa pseudocallosa,,Mimosa pseudocallosa,Mimosa pseudocallosa,
31296,Mimosa prorepens Barneby,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Campo rupestre,Cerrado,Mimosa prorepens,,Mimosa prorepens,Mimosa prorepens,
31295,Mimosa procurrens Benth.,Fabaceae,species,accepted,NA,Erva,Terr�cola,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa procurrens,,Mimosa procurrens,Mimosa procurrens,
78923,Mimosa prionopus Barneby,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Campo de Altitude,Mata Atl�ntica,Mimosa prionopus,,Mimosa prionopus,Mimosa prionopus,
605129,"Mimosa porrecta L. Jordão, M. P. Morim & Baumgratz",Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Cerrado (lato sensu)|Floresta Estacional Semidecidual|Floresta Ombr�fila (= Floresta Pluvial),Cerrado|Mata Atl�ntica,Mimosa porrecta,,Mimosa porrecta,Mimosa porrecta,
18849,Mimosa polydidyma Barneby,Fabaceae,species,accepted,NA,Erva,Terr�cola,Campo rupestre|Cerrado (lato sensu),Caatinga|Cerrado,Mimosa polididyma,was misspelled,Mimosa polydidyma,Mimosa polydidyma,
18849,Mimosa polydidyma Barneby,Fabaceae,species,accepted,NA,Erva,Terr�cola,Campo rupestre|Cerrado (lato sensu),Caatinga|Cerrado,Mimosa polydidyma,,Mimosa polydidyma,Mimosa polydidyma,
83447,Mimosa polydactyla Humb. & Bonpl. ex Willd.,Fabaceae,species,accepted,NA,Erva,Terr�cola,�rea Antr�pica|Floresta de Terra Firme|Floresta Ombr�fila (= Floresta Pluvial),Amaz�nia|Mata Atl�ntica,Mimosa polydactyla,,Mimosa polydactyla,Mimosa polydactyla,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa polycephala taxifolia,not found,NA,Mimosa polycephala var. taxifolia,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa polycephala polycephala,not found,NA,Mimosa polycephala var. polycephala,
18847,Mimosa polycephala Benth. var. polycephala,Fabaceae,variety,accepted,NA,Subarbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa polycephala var. polycephala,,Mimosa polycephala var. polycephala,Mimosa polycephala var. polycephala,
18846,Mimosa polycephala Benth.,Fabaceae,species,accepted,NA,NA,NA,NA,NA,Mimosa polycephala,,Mimosa polycephala,Mimosa polycephala,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa polycarpa spegazzinii,not found,NA,Mimosa polycarpa var. spegazzinii,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa polycarpa spergazzini,not found,NA,Mimosa polycarpa var. spegazzinii,
31289,Mimosa polycarpa var. spegazzinii (Pirotta ex Hook.f.) Burkart,Fabaceae,variety,accepted,NA,Arbusto|Subarbusto,Terr�cola,�rea Antr�pica|Cerrado (lato sensu)|Floresta Ciliar ou Galeria,Cerrado|Pantanal,Mimosa polycarpavar.spegazzinii,was misspelled,Mimosa polycarpa var. spegazzinii,Mimosa polycarpa var. spegazzinii,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa spegazzinii,not found,NA,Mimosa polycarpa var. spegazzinii,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa polycarpa polycarpa,not found,NA,Mimosa polycarpa var. polycarpa,
83446,Mimosa polycarpa Kunth,Fabaceae,species,accepted,NA,Arbusto|Subarbusto,NA,Cerrado (lato sensu)|Floresta Ciliar ou Galeria,Cerrado|Pantanal,Mimosa polycarpa,,Mimosa polycarpa,Mimosa polycarpa,
31287,Mimosa pogonoclada Benth.,Fabaceae,species,accepted,NA,Erva,Terr�cola,Campo rupestre,Cerrado,Mimosa pogonoclada,,Mimosa pogonoclada,Mimosa pogonoclada,
31286,Mimosa pogocephala Benth.,Fabaceae,species,accepted,NA,Arbusto,Rup�cola|Terr�cola,Campo rupestre,Cerrado,Mimosa eriocaulis,replaced synonym,Mimosa pogocephala,Mimosa pogocephala,
31286,Mimosa pogocephala Benth.,Fabaceae,species,accepted,NA,Arbusto,Rup�cola|Terr�cola,Campo rupestre,Cerrado,Mimosa pogocephala,,Mimosa pogocephala,Mimosa pogocephala,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa bijuga,not found,NA,Mimosa poculata,correction: leo
18845,Mimosa poculata Barneby,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa poculata,,Mimosa poculata,Mimosa poculata,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa plena,not found,NA,Mimosa plena,
18844,Mimosa pithecolobioides Benth.,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Caatinga (stricto sensu)|Campo rupestre|Cerrado (lato sensu)|Floresta Estacional Decidual,Caatinga|Cerrado|Mata Atl�ntica,Mimosa pithecellobioides,was misspelled,Mimosa pithecolobioides,Mimosa pithecolobioides,
18844,Mimosa pithecolobioides Benth.,Fabaceae,species,accepted,NA,Arbusto,Terr�cola,Caatinga (stricto sensu)|Campo rupestre|Cerrado (lato sensu)|Floresta Estacional Decidual,Caatinga|Cerrado|Mata Atl�ntica,Mimosa pithecolobioides,,Mimosa pithecolobioides,Mimosa pithecolobioides,
18843,Mimosa piscatorum Barneby,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Cerrado (lato sensu),Cerrado,Mimosa piscatorum,,Mimosa piscatorum,Mimosa piscatorum,
83445,Mimosa piresii Barneby,Fabaceae,species,accepted,NA,Arbusto|Subarbusto,Terr�cola,Cerrado (lato sensu),Amaz�nia|Cerrado,Mimosa piresii,,Mimosa piresii,Mimosa piresii,
83444,Mimosa piptoptera Barneby,Fabaceae,species,accepted,NA,Erva,Terr�cola,Caatinga (stricto sensu)|Campo rupestre|Cerrado (lato sensu),Caatinga|Cerrado,Mimosa piptoptera,,Mimosa piptoptera,Mimosa piptoptera,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa pseudoincana,not found,NA,Mimosa pilulifera var. pseudincana ,
31280,Mimosa pilulifera var. pseudincana (Burkart) Barneby,Fabaceae,variety,accepted,NA,Arbusto,Terr�cola,Campo de Altitude|Floresta Estacional Semidecidual|Floresta Ombr�fila (= Floresta Pluvial)|Floresta Ombr�fila Mista|Restinga,Cerrado|Mata Atl�ntica,Mimosa aparadensis,replaced synonym,Mimosa pilulifera var. pseudincana,Mimosa pilulifera var. pseudincana,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa pilularis pseudincana,not found,NA,Mimosa pilulifera var. pseudincana,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa pilulifera pseudincana,not found,NA,Mimosa pilulifera var. pseudincana,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa pilulifera pseudoincana,not found,NA,Mimosa pilulifera var. pseudincana,
31280,Mimosa pilulifera var. pseudincana (Burkart) Barneby,Fabaceae,variety,accepted,NA,Arbusto,Terr�cola,Campo de Altitude|Floresta Estacional Semidecidual|Floresta Ombr�fila (= Floresta Pluvial)|Floresta Ombr�fila Mista|Restinga,Cerrado|Mata Atl�ntica,Mimosa pilulifera var. pseudincana,,Mimosa pilulifera var. pseudincana,Mimosa pilulifera var. pseudincana,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa pseudincana discolor,not found,NA,Mimosa pilulifera var. pseudincana,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa pseudincana,not found,NA,Mimosa pilulifera var. pseudincana,
31279,Mimosa pilulifera Benth.,Fabaceae,species,accepted,NA,�rvore,Terr�cola,Campo de Altitude|Campo Limpo|Floresta Ciliar ou Galeria,Mata Atl�ntica|Pampa,Mimosa pilulifera,,Mimosa pilulifera,Mimosa pilulifera,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa pigra pigra,not found,NA,Mimosa pigra var. pigra,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa pellita dehiscens,not found,NA,Mimosa pigra var. dehiscens,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa pigra dehiscens,not found,NA,Mimosa pigra var. dehiscens,
18840,Mimosa pigra var. dehiscens (Barneby) Glazier & Mackinder,Fabaceae,variety,accepted,NA,Arbusto,Terr�cola,�rea Antr�pica|Floresta Estacional Semidecidual|Restinga,Amaz�nia|Cerrado|Mata Atl�ntica|Pantanal,Mimosa pigra var. dehiscens,,Mimosa pigra var. dehiscens,Mimosa pigra var. dehiscens,
23087,Mimosa pellita Humb. & Bonpl. ex Willd.,Fabaceae,species,synonym,NA,Arbusto,Terr�cola,�rea Antr�pica|Cerrado (lato sensu)|Floresta de V�rzea,NA,Mimosa pellita,check no accepted name,Mimosa pellita,Mimosa pigra,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa pellita pellita,not found,NA,Mimosa pigra,
23088,Mimosa pigra L.,Fabaceae,species,accepted,NA,NA,NA,NA,NA,Mimosa pigra,,Mimosa pigra,Mimosa pigra,
23088,Mimosa pigra L.,Fabaceae,species,accepted,NA,NA,NA,NA,NA,Mimosa pingra,was misspelled,Mimosa pigra,Mimosa pigra,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa phyllodinea phyllorrhoea,not found,NA,Mimosa phyllodinea var. phyllorrhoea,
31278,Mimosa phyllodinea var. phyllorrhoea Barneby,Fabaceae,variety,accepted,NA,Erva,Terr�cola,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa phyllodinea var. phyllorrhoea,,Mimosa phyllodinea var. phyllorrhoea,Mimosa phyllodinea var. phyllorrhoea,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mimosa phyllodinea phyllodinea,not found,NA,Mimosa phyllodinea var. phyllodinea,
31276,Mimosa phyllodinea Benth.,Fabaceae,species,accepted,NA,NA,NA,NA,NA,Mimosa phyllodinea,,Mimosa phyllodinea,Mimosa phyllodinea,
31275,Mimosa petiolaris Benth.,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Campo rupestre|Cerrado (lato sensu),Cerrado,Mimosa petiolaris,,Mimosa petiolaris,Mimosa petiolaris,
133898,Mimosa perplicata L.M. Borges,Fabaceae,species,accepted,NA,Arbusto|�rvore,Terr�cola,Campo rupestre,Cerrado,Mimosa perplicata,,Mimosa perplicata,Mimosa perplicata,
100968,Mimosa per-dusenii Burkart,Fabaceae,species,accepted,NA,Subarbusto,Terr�cola,Campo Limpo,Mata Atl�ntica,Mimosa per-dusenii,,Mimosa per-dusenii,Mimosa per-dusenii,
